h	.urukwa wmwtwruf egiawnWt	a	
wh	.inOdwh  (n) .cswvudwh (S) .iDnogwh (h) :ulWsim  .urukwa EdcSokwhEd cnwkcaeawh cnutog egudwdwA	an	
urwhwh	.ibOl	n	
itevurwhwh	.itevibOl	an	
cnutevurwhwh	.cnurukibOl	m	
Wywruhwh	.Wyirevwdwswh (.db)	n	
itehwh	.cnwtcnwt  urutia wdwf umWqwm ,ctwrWyiz (.db)	n	
wSwh	.cswbwSwh	n	
cnulcaohwSwh	.cswbwSwh (2)  ."wSwh " cnukcaed wkwhWv cnuhwbwSwh (1) (.s)	m	
wrwnwSwh	.cnwn Wyik cSokcaea cSwkwturukwa  egiawnWt (2) .Wbufilwa egiawnWt (1)	n	
cnwSwh	.wmcnirwh wncnoa  cnegiawSwv egWBcqwacludijcswm iaWLufctWrWyiz  iaWLufeg (4) .ubWsih Wnwm cnurukwrWkix  iaWmuDnek ihegWhwgcswg egWkcawm (3) .urwtcawv  wncnuh iawfednwb cnwSwh (2) .cmwrwH (1)	n	
cnunwbcnwSwh	.evea  eveneg cswnUn cnutogirevubwdwa cawtctWkwrwHim  idwa .eveaeneg ctWkwrwhim csevcSwtogctog  cnUnim idwa .cnuscaej wfis egcaeSog cnutwaed  iawgiawmwh Waem (4) .cnul cSwSodctwfilihik  utWnwk wlitctwawv ukeaiaWmul cSwSodctwfilihik  utwawv wlitctwaWnwk (3) .cnuTcaehefih  cnutwaWnwk iawguLuhwDuk egutwaea iawscawj  iawguDnwb ctwawv (2) .cnunwb cmwrwH (1)	m	
urIbukwtcnwbcnwSwh	.cnukur wnwved egudWmwn (2) ."urwbckwa  Q" Wyik cnumwncnwbcnwSwh cSwdWmwn (1)	n	
cnuvureauLupctwa cSwLufcnwSwh	.ctogctWmemcnea eguhwbim "cnuvureactwa  cSwmwSwh"		
uLufcnwSwh	.cnwSwh  egWBcqwa cludijcswm iaWaWnIdwm iaWaWkcawm	n	
cnuvencnebuLufcnwSwh	.ctogctWmemcnea eguhwbim "cnunwbcnwSwh "	m	
whwbwSwh	.cswbwSwh	n	
cswbwSwh	.(ifIfcneDuS) IdId cniawsuh  (n) .(ubudWDUv) uLufWsUm (S) .(ifIfulcaul)  idIdutcaut (h) :ulWsim .cswb WkcawdwkwhWv  cnegcSokulwdwb Wrukwacaenwa urukwacaea urukwaed  wncnoa cnegihejihej cnubIturwt egiawLwbwrwnwSwh	n	
uLWvwSwh	.uLWvurwh (.h)	n	
wdWvwSwh	.wkwhWv Wkcawd cnuhwbcawv (.s)  (4) .cnurWrwa Wv iaWbWvuz Wruk enub cSwmwkuLom  Wmit eruvcSwkwkenwa ukwkea ukwhImed (3) .wkwhWv  egutWz wncnwgudwl Wkcawd cnutog WsWmws WnuhIm  WvWtih (2) .ubWvuz egutWz wncnwgudwl (1)	n	
cnuyikwdWvwSwh	.cnukcaed  wkwhWv cnuhwbcawv (.s) (4) .cnuvcnurWrwa  cSokubWvuz iawkcawdwkwhWv enubcSwmwk uLom Wmit  eruvcSwkwkenwa ukwkea ukwhImed (3) .cnukcaed wkwhWv  egutWz wncnwgudwl cnutog WsWmws WnuhIm WvWtih  (2) .cnurukubWvuz egutWzwncnwgudwl (1)	m	
ilWvwSwh	.eveaeruh caekwtcawl uLwk wncnuh cSwkwairwbed  iawgItwmirwa eguhwm .eveawluk iLwaihir Ikwawluk  eguhwm .eveaenWncnuh caekwtiSwk wncnuh cSwkwrwvcaea  Itwm iSwkwrub egIlWvim .eveaenWvugid eruvcSwycaWv  cnehinehea cswmim .caehwmurwf egWliaWa ilWv	n	
cnuvureactwacSwmwSwh	.cnuvcaEb  ctwaWnwk iawgItwmctwawv iawgIrit eguDnwgiSwkEm  egWtiycawm wtwvun egWhIm WviawfevurizWH cSwrwm	m	
wLWfwSwh	.Ed (.db)	an	
cnuhegwSwh	.cnuruk ubWvuz evirevuLoked	m	
iSwh	.uDnwgiSwhiLum egcaeCcaea emcnok Erid	n	
urihiSwh	.csuh (.db)	an	
wdcauhiSwh	.Wvun iawgumwkcnia iawgcaeawdcaiA  egWkenwa (2) .Wvun iawgumwkcniaevilwb (1)	an	
cnuvwdcauhiSwh	.cnuvun iawgumwkcnia iawgiawdcaia  egWkenwa (2) .cnuvun iawgumwkcniaevilwb (1)	m	
uaehiSwh	.oyehiSwh	an	
cnuvuaehiSwh	.cnuvoyehiSwh	m	
cnudehiSwh	.cnudehiawg	m	
oyehiSwh	.uLnwgwr wfUr (4) .wlwf cSwrwv  WvcnegISwkea uDnwgiSwh (3) .oyeh urwtcawmws (2)  .uLwgnwr urwtcawv eguDnwgiSwh iruhideh (1)	an	
cnwkoyehiSwh	.cnwkuLwgnwr  wfUr (4) cnwkwlwf cSwrwvoyeh uDnwgiSwh  (3) .cnwkoyeh urwtcawmws (2) ,cnwkuLwgnwr  urwtcawv eguDnwgiSwh iruhideh (1)	nan	
cnuvoyehiSwh	.cnuvuLwgnwr  wfUr (4) .cnuvwlwf cSwrwv WvcnegISwkea uDnwgiSwh  (3) cnuvoyeh urwtcawmws (2) .cnuvuLwgnwr  urwtcawv eguDnwgiSwh iruhideh (1)	m	
wrubiSwh	.ilehurwb	an	
cnwkwrubiSwh	.cnwkilehurwb	nan	
cnuvwrubiSwh	.cnuvilehurwb	m	
wbWsihWkiSwh	.ubWsihEhej uLokcsia (.s)	n	
cnwtWkiSwh	.cnwtWkuLokcsia  (2) .cnwtEhejuLokcsia (1) (.s.N)	n	
cnuaekiSwh	.cnuaekuLokcsia  (2) .cnuhejuLokcsia (1) (.s)	m	
cnuvuLufwrubuLokiSwh	.ctogctWm emcnea eguhwbim "cnuvwrubiSwh "	m	
uLufwhEswfuLokiSwh	.ctogctWm emcnea eguhwbim "whEswfiSwh "	an	
cnwkuLufwhEswfuLokiSwh	.ctogctWm emcnea eguhwbim "cnwkwhEswfiSwh "	nan	
cnuvuLufwhEswfuLokiSwh	.ctogctWm emcnea eguhwbim "cnuvwhEswfiSwh "	m	
cnuvcaeluLufWvEnWrufuLokiSwh	.ctogctWm emcnea eguhwbim "cnulWvEn  WrufiSwh "	m	
uawviSwh	.uawv Whwj iawgIruk egIDnwd cSwmuTcaehefih iDnwd  egulwyir Itwmcnut (2) .uawvIDnwd (1) (.h)	n	
whEswfiSwh	.whEswfctih :uzWjwm (3) .ctencaemwk  WvUgwdnua cSwDnwgiSwh (2) .Whiv (1)	an	
cnulcSokwhEswfiSwh	.cnulcSokwhEswfctih :uzWjwm	m	
cnuvwhEswfiSwh	.cnuvwhEswfctih :uzWjwm (3) .cnutencaemwk  WvUgwdnua cSwDnwgiSwh (2) .cnuaehiv (1)	m	
cnulWvEnWrufiSwh	.cnul caeaWvEn cSokcnuf  cSokugid (2) .cnulWvEnWm cSokugid (1)	m	
